location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
95,"Amsterdam-Vondelpark","co",0.3982,"µg/m³","2021-01-03T15:00:00Z","2021-01-03T16:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3741,"µg/m³","2021-01-03T16:00:00Z","2021-01-03T17:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3398,"µg/m³","2021-01-03T17:00:00Z","2021-01-03T18:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3324,"µg/m³","2021-01-03T18:00:00Z","2021-01-03T19:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3232,"µg/m³","2021-01-03T19:00:00Z","2021-01-03T20:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3313,"µg/m³","2021-01-03T20:00:00Z","2021-01-03T21:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",-999,"µg/m³","2021-01-03T21:00:00Z","2021-01-03T22:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3264,"µg/m³","2021-01-03T22:00:00Z","2021-01-03T23:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",-999,"µg/m³","2021-01-03T23:00:00Z","2021-01-04T00:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",-999,"µg/m³","2021-01-04T00:00:00Z","2021-01-04T01:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",-999,"µg/m³","2021-01-04T01:00:00Z","2021-01-04T02:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3159,"µg/m³","2021-01-04T02:00:00Z","2021-01-04T03:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3145,"µg/m³","2021-01-04T03:00:00Z","2021-01-04T04:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3214,"µg/m³","2021-01-04T04:00:00Z","2021-01-04T05:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3235,"µg/m³","2021-01-04T05:00:00Z","2021-01-04T06:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3332,"µg/m³","2021-01-04T06:00:00Z","2021-01-04T07:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3449,"µg/m³","2021-01-04T07:00:00Z","2021-01-04T08:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3518,"µg/m³","2021-01-04T08:00:00Z","2021-01-04T09:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3446,"µg/m³","2021-01-04T09:00:00Z","2021-01-04T10:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3289,"µg/m³","2021-01-04T10:00:00Z","2021-01-04T11:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3134,"µg/m³","2021-01-04T12:00:00Z","2021-01-04T13:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",-999,"µg/m³","2021-01-04T13:00:00Z","2021-01-04T14:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3063,"µg/m³","2021-01-04T14:00:00Z","2021-01-04T15:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3101,"µg/m³","2021-01-04T15:00:00Z","2021-01-04T16:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3451,"µg/m³","2021-01-04T16:00:00Z","2021-01-04T17:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3324,"µg/m³","2021-01-04T17:00:00Z","2021-01-04T18:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",-999,"µg/m³","2021-01-04T18:00:00Z","2021-01-04T19:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.3301,"µg/m³","2021-01-04T19:00:00Z","2021-01-04T20:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
