location,parameter,value,date,unit,coordinates,country,city
Amsterdam-Hoogtij,so2,0.0,"{'utc': '2023-07-31T23:00:00+00:00', 'local': '2023-08-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,1.0,"{'utc': '2023-08-31T23:00:00+00:00', 'local': '2023-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,1.2,"{'utc': '2023-09-30T23:00:00+00:00', 'local': '2023-10-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Vondelpark,no2,27.4,"{'utc': '2021-02-27T03:00:00+00:00', 'local': '2021-02-27T04:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,26.0,"{'utc': '2021-04-30T04:00:00+00:00', 'local': '2021-04-30T06:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,6.7,"{'utc': '2021-05-31T14:00:00+00:00', 'local': '2021-05-31T16:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,17.9,"{'utc': '2021-06-30T21:00:00+00:00', 'local': '2021-06-30T23:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,15.6,"{'utc': '2021-07-25T03:00:00+00:00', 'local': '2021-07-25T05:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,8.4,"{'utc': '2021-08-31T23:00:00+00:00', 'local': '2021-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,11.9,"{'utc': '2021-12-31T23:00:00+00:00', 'local': '2022-01-01T00:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,9.2,"{'utc': '2022-05-31T23:00:00+00:00', 'local': '2022-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,6.5,"{'utc': '2023-01-31T23:00:00+00:00', 'local': '2023-02-01T00:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,10.3,"{'utc': '2023-02-28T03:00:00+00:00', 'local': '2023-02-28T04:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,12.2,"{'utc': '2023-03-31T23:00:00+00:00', 'local': '2023-04-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,14.6,"{'utc': '2023-04-30T23:00:00+00:00', 'local': '2023-05-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,3.3,"{'utc': '2023-05-31T23:00:00+00:00', 'local': '2023-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,5.8,"{'utc': '2023-06-30T22:00:00+00:00', 'local': '2023-07-01T00:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,7.1,"{'utc': '2023-07-31T23:00:00+00:00', 'local': '2023-08-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,19.7,"{'utc': '2023-08-31T23:00:00+00:00', 'local': '2023-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no2,18.0,"{'utc': '2023-09-30T23:00:00+00:00', 'local': '2023-10-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
FR04012,no2,27.4,"{'utc': '2021-01-31T23:00:00+00:00', 'local': '2021-02-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,27.3,"{'utc': '2021-02-28T23:00:00+00:00', 'local': '2021-03-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,103.7,"{'utc': '2021-03-31T02:00:00+00:00', 'local': '2021-03-31T04:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,16.4,"{'utc': '2021-04-30T02:00:00+00:00', 'local': '2021-04-30T04:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,69.0,"{'utc': '2021-05-31T06:00:00+00:00', 'local': '2021-05-31T08:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
